CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,CONFIG,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,CASEWGT,PSUSTRAT,VERSION
6643,2017,33,23,1-33-2017-023-06,6,3,4,05:45,4,2,1,1,1,1,0,3,2,2,0,"V1 was traveling south on 2 lane highway. V1 departed its lane to the left and made a hard right turn to correct. V1 rotated in a clockwise motion and reentered original travel lane, departed the road to the right, contacted a fence and rolled 4 quarter turns before coming to rest.",151.55835338118,12,2
6035,2017,23,1,1-23-2017-001-04,4,1,1,13:19,1,1,1,0,0,0,0,0,2,2,0,V1 was traveling Northbound on roadway and struck a deer head-on.,387.004656586397,5,2
6045,2017,17,1,1-17-2017-001-10,10,1,2,22:18,5,1,1,0,0,0,0,0,2,9,0,V1 was eastbound on a two lane undivided roadway approaching a T-intersection. V1 departed the roadway at the end.  The front of V1 struck an embankment.,200.166808861819,4,2
6042,2017,32,1,1-32-2017-001-09,9,1,1,08:42,5,1,1,2,9,1,0,3,2,2,0,V1 was negotiating a curve and traveling on the connection ramp of two major highways. Driver lost directional control of the vehicle. V1 started to rotate counter-clockwise and departed the roadway to the left. The front of V1 impacted a concrete traffic barrier.,439.988808087459,7,2
6050,2017,13,1,1-13-2017-001-04,4,1,1,12:50,2,2,3,1,1,1,0,0,2,2,4,Vehicle 1 was traveling northbound and approaching an intersection. Vehicle 2 was traveling eastbound and approaching the same intersection. Vehicle 3 was stopped westbound at the intersection. Within the intersection the front of V1 impacted the right side of V2. V2 rotated clockwise and moved to the north-east. The left side of V2 impacted the front of V3.,2302.56589082077,7,2
6054,2017,20,1,1-20-2017-001-10,10,1,1,06:45,5,1,1,0,0,0,0,0,2,2,0,V1 was n/b on a two-lane street approaching a dead end. V1 traveled off the roadway at the dead end. The front of V1 impacted a fence and V1 came to final rest in an agricultural field.,31.9924847541354,11,2
6068,2017,19,1,1-19-2017-001-06,6,1,1,11:57,3,1,2,1,1,1,0,4,2,2,4,V1 was traveling southbound at a stop sign controlled intersection attempting to make a right turn. V2 was traveling eastbound approaching the same intersection with no controls. The rear plane of V1 was contacted by the front plane of V2.,250.94245606192,9,2
6062,2017,16,1,1-16-2017-001-10,10,1,3,00:21,5,1,1,0,0,0,0,0,9,9,0,Unit # 1 was stopped by Police. He exited the vehicle and left the vehicle in drive. The vehicle rolled forward (with no occupants) rolled off of the right side of the road and then struck a tree.,96.0734797580618,5,2
6092,2017,14,1,1-14-2017-001-05,5,1,1,01:30,2,2,2,2,12,1,0,3,2,1,4,V1 was traveling Eastbound and V2 was traveling Northbound on intersecting roads. V1 traveled thru intersection at the same time as V2 and V1's front contacted V2's front. V1 then spun and it's right side contacted V2's left side.,223.196555918989,8,2
6095,2017,24,1,1-24-2017-001-07,7,1,2,22:45,2,1,2,0,0,0,0,0,2,2,5,"V1 was traveling westbound in the far right lane on a seven lane, two way roadway.  V2 was traveling westbound in the lane to the left of V1, on a seven lane, two-way roadway.  V2 attempt to change lanes and the left side of V1 made contact with the right rear of V2.",1057.24455000333,1,2
6103,2017,16,2,1-16-2017-002-03,3,1,3,02:29,3,1,2,1,1,1,0,4,2,2,1,"V1 and V2 were traveling southbound on the roadway approaching a stop sign. As both units were coming to a stop, they collided causing damage to the rear of Unit 1 and the front of unit 2",299.333672633261,5,2
